accession_number,report_date,url,issuer,class,cusip,value,shares,share_type,discretion,voting_sole,voting_shared,voting_none
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ABBOTT LABS,COM,002824100,119075397,875490,SH,SOLE,836220,0,39270
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ACCURAY INC,COM,004397105,46169,33700,SH,SOLE,33700,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ADOBE INC,COM,00724F101,1608467527,4157536,SH,SOLE,4056927,0,100609
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ADVANCED MICRO DEVICES INC,COM,007903107,31317330,220700,SH,SOLE,220700,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AECOM,COM,00766T100,1079308621,9563252,SH,SOLE,9239052,0,324200
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,AGILENT TECHNOLOGIES INC,COM,00846U101,180691722,1531156,SH,SOLE,1432306,0,98850
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALASKA AIR GROUP INC,COM,011659109,179831102,3634420,SH,SOLE,3634420,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALBEMARLE CORP,COM,012653101,207176931,3305839,SH,SOLE,3201514,0,104325
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALCON AG,ORD SHS,H01301128,119662304,1355486,SH,SOLE,1338486,0,17000
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,2354876542,20764276,SH,SOLE,20159926,0,604350
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALKERMES PLC,SHS,G01767105,83040811,2902510,SH,SOLE,2816950,0,85560
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALLEGIANT TRAVEL CO,COM,01748X102,2200748,40050,SH,SOLE,40050,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALLOGENE THERAPEUTICS INC,COM,019770106,6462628,5719140,SH,SOLE,5719140,0,0
0001085146-25-004804,,https://www.sec.gov/Archives/edgar/data/763212/000108514625004804/infotable.xml,ALPHABET INC,CAP STK CL A,02079K305,2951551851,16748294,SH,SOLE,16229764,0,518530
